title,author
Krondor: The Betrayal,Raymond E. Feist
The Dark Is Rising,Susan Cooper
The Black Unicorn ,Terry Brooks
"I, Robot",Isaac Asimov
Four Blondes,Candace Bushnell
"Love, Stargirl",Jerry Spinelli
The Tenth Circle,Jodi Picoult
Vanishing Acts,Jodi Picoult
Aztec,Gary Jennings
Marlfox,Brian Jacques
Lady Midnight,Cassandra Clare
The Secret Keeper,Kate Morton
The Afghan,Frederick Forsyth
A Touch of Dead,Charlaine Harris
Daja's Book,Tamora Pierce
Steve Jobs,Walter Isaacson
Cold Fire,Tamora Pierce
Thanks for the Memories,Cecelia Ahern
Bitterblue,Kristin Cashore
Daisy Miller,Henry James
The Brothers K,David James Duncan
The Pact,Jodi Picoult
Plum Spooky,Janet Evanovich
Twice Tempted ,Jeaniene Frost
Legend,Marie Lu
Thr3e,Ted Dekker
The Lion's Game,Nelson DeMille
The Rainmaker,John Grisham
Eleanor & Park,Rainbow Rowell
The Lightning Thief,Rick Riordan
The Final Detail,Harlan Coben
A Cry in the Night,Mary Higgins Clark
Half Bad,Sally Green
Lady Windermere's Fan,Oscar Wilde
The Awakening,Kelley Armstrong
Ham on Rye,Charles Bukowski
The Van Alen Legacy ,Melissa de la Cruz
A Pocket for Corduroy,Don Freeman
The Street Lawyer,John Grisham
Revolutionary Road,Richard Yates
Neuromancer,William Gibson
Catch-22,Joseph Heller
sTORI Telling,Tori Spelling
The Snowy Day,Ezra Jack Keats
Invisible Monsters,Chuck Palahniuk
Noughts & Crosses,Malorie Blackman
Separation of Power,Vince Flynn
The Weight of Blood,Laura McHugh
Lincoln in the Bardo,George Saunders
Kiss of Midnight,Lara Adrian
Did You Ever Have a Family,Bill Clegg
The Tiger Who Came to Tea,Judith Kerr
Tuesday,David Wiesner
My Man Jeeves,P.G. Wodehouse
Hit List,Laurell K. Hamilton
Cabal,Clive Barker
The Sea Wolf,Jack London
One Good Dog,Susan  Wilson
A Knight of the Word ,Terry Brooks
The Lonely Polygamist,Brady Udall
Born at Midnight,C.C. Hunter
Lover Reborn,J.R. Ward
The Plot Against America,Philip Roth
I Am Legend ,Richard Matheson
Hex Hall,Rachel Hawkins
It,Stephen King
The Player of Games,Iain M. Banks
The Waves,Virginia Woolf
The Angel Experiment,James Patterson
Teen Idol,Meg Cabot
Armageddon's Children,Terry Brooks
Legend ,David Gemmell
The Thief,Megan Whalen Turner
Welcome to Temptation,Jennifer Crusie
The Gods Themselves,Isaac Asimov
Bullet,Laurell K. Hamilton
A Dog's Purpose ,W. Bruce Cameron
The Devil You Know,Mike Carey
number9dream,David Mitchell
